,scores
0,0.8385757207870483
1,0.7781721949577332
2,0.8401270508766174
3,0.6953580379486084
4,0.7778021097183228
5,0.8885901570320129
6,0.8946118354797363
7,0.8156729936599731
8,0.8202764987945557
9,0.697367787361145
10,0.781002402305603
11,0.7451183199882507
12,0.6477156281471252
13,0.6286684274673462
14,0.8171799182891846
15,0.7416406869888306
16,0.7807645797729492
17,0.7115371823310852
18,0.7583436965942383
19,0.734671950340271
20,0.8470149040222168
21,0.7683025002479553
22,0.737031102180481
23,0.6823661923408508
24,0.8278303146362305
25,0.7098602056503296
26,0.8800894618034363
27,0.8545770049095154
28,0.8320335149765015
29,0.7808005809783936
30,0.6919615864753723
31,0.7779806852340698
32,0.7295854687690735
33,0.7809056043624878
34,0.7413389682769775
35,0.7696832418441772
36,0.8640944361686707
37,0.7415946125984192
38,0.7187687158584595
39,0.7161157131195068
40,0.7875785231590271
41,0.814487636089325
42,0.6574091911315918
43,0.8553662896156311
44,0.7176937460899353
45,0.6795942187309265
46,0.8791908621788025
47,0.8402508497238159
48,0.8250597715377808
49,0.7203431725502014
50,0.8559418320655823
51,0.8139219880104065
52,0.7089122533798218
53,0.9317512512207031
54,0.7383743524551392
55,0.8374636769294739
56,0.7573581337928772
57,0.9135758876800537
58,0.7525404691696167
59,0.8151165843009949
60,0.7510051131248474
61,0.8003672957420349
62,0.9047210812568665
63,0.7549277544021606
64,0.6750913858413696
65,0.8225216865539551
66,0.8061033487319946
67,0.811260461807251
68,0.7898119688034058
69,0.6956413984298706
70,0.8248884677886963
71,0.768757164478302
72,0.7923965454101562
73,0.80653315782547
74,0.6719100475311279
75,0.7133175730705261
76,0.7934314012527466
77,0.8419364094734192
78,0.8878272175788879
79,0.7893317937850952
80,0.8368628621101379
81,0.8309701681137085
82,0.7340670228004456
83,0.8254504203796387
84,0.7819334268569946
85,0.7807689309120178
86,0.8687735795974731
87,0.7679706811904907
88,0.8229644894599915
89,0.8004798293113708
90,0.8680047988891602
91,0.8370080590248108
92,0.7205307483673096
93,0.8212659955024719
94,0.7638071179389954
95,0.9023363590240479
96,0.8292446136474609
97,0.8448512554168701
98,0.8042458295822144
99,0.7535953521728516
100,0.7609304189682007
101,0.7914842963218689
102,0.7722312808036804
103,0.7651594877243042
104,0.7459331154823303
105,0.7471430897712708
106,0.7301019430160522
107,0.7490606904029846
108,0.8679380416870117
109,0.7456859946250916
110,0.7294884324073792
111,0.7584981918334961
112,0.6898015737533569
113,0.7482202053070068
114,0.6992828845977783
115,0.7521589398384094
116,0.7248877286911011
117,0.7325270771980286
118,0.7398033142089844
119,0.6602320075035095
120,0.816144585609436
121,0.7219921350479126
122,0.8920778036117554
123,0.7429189085960388
124,0.8293635249137878
125,0.7425962090492249
126,0.8228310346603394
127,0.8597750067710876
128,0.756596028804779
129,0.6960768699645996
130,0.8456584215164185
131,0.8324345350265503
132,0.8199768662452698
133,0.8214061856269836
134,0.8109159469604492
135,0.838848352432251
136,0.7704941034317017
137,0.6794595718383789
138,0.7529195547103882
139,0.7963346838951111
140,0.7724894285202026
141,0.7107964158058167
142,0.7677999138832092
143,0.8123892545700073
144,0.8679841756820679
145,0.7662112712860107
146,0.8395782113075256
147,0.8768596053123474
148,0.8219823837280273
149,0.7567181587219238
150,0.7860830426216125
151,0.8068518042564392
152,0.7340131402015686
153,0.7746142745018005
154,0.8569130301475525
155,0.8282329440116882
156,0.7703763842582703
157,0.8938183188438416
158,0.8044711351394653
159,0.8817692399024963
160,0.7779483795166016
161,0.7962610721588135
162,0.8572970032691956
163,0.7837751507759094
164,0.7304356694221497
165,0.6799732446670532
166,0.7846027612686157
167,0.7829743027687073
168,0.8209984302520752
169,0.7966046333312988
170,0.7570294737815857
171,0.7185831069946289
172,0.734428346157074
173,0.816335141658783
174,0.702960193157196
175,0.771458089351654
176,0.8173988461494446
177,0.8510008454322815
178,0.8224068284034729
179,0.8299638032913208
180,0.8249457478523254
181,0.7125551104545593
182,0.736981987953186
183,0.8425891995429993
184,0.771784245967865
185,0.7035929560661316
186,0.759861409664154
187,0.6872852444648743
188,0.8007623553276062
189,0.8360167741775513
190,0.7323370575904846
191,0.8181862235069275
192,0.8210338354110718
193,0.8568599224090576
194,0.7434924840927124
195,0.8031911849975586
196,0.8257030248641968
197,0.661924421787262
198,0.7844417095184326
199,0.8112065196037292
200,0.8161282539367676
201,0.748072624206543
202,0.7576598525047302
203,0.7474223375320435
204,0.7775601744651794
205,0.8108844757080078
206,0.7027614116668701
207,0.8569079637527466
208,0.8683499693870544
209,0.7419464588165283
210,0.8364162445068359
211,0.7162173986434937
212,0.9303568005561829
213,0.7459853887557983
214,0.7995380163192749
215,0.8647125959396362
216,0.7417242527008057
217,0.8793424367904663
218,0.782602846622467
